eiaid,p2_lvl_cost_per_kwh
34.0,0.139391536672421
55.0,0.1145602955799708
87.0,0.0593761724012616
97.0,0.1169340779968115
108.0,0.1122188579407376
122.0,0.0321568215019893
123.0,0.1395741432068268
150.0,0.2301144841163871
155.0,0.1716181903475145
162.0,0.1239769408197257
174.0,0.0860083874128779
182.0,0.0982155281010293
183.0,0.053350362189313
191.0,0.1498250614902311
201.0,0.1012318643321609
202.0,0.086268740051527
213.0,0.0999273510938925
221.0,0.4370419370643897
228.0,0.1306008446188692
230.0,0.1416500517590291
232.0,0.1227884265052786
240.0,0.100516954110004
241.0,0.09946368482939
266.0,0.0846778498838372
276.0,0.1171026974411724
287.0,0.0591050324477267
289.0,0.0893
295.0,0.0937776706371332
296.0,0.0782436145469652
298.0,0.0874354328396954
305.0,0.1534273657403924
307.0,0.1154389249419186
308.0,0.121991181684995
332.0,0.2079683445192978
366.0,0.0753946590671279
367.0,0.1014947315556135
385.0,0.0994214087180552
405.0,0.0505354384719717
406.0,0.092419119382974
407.0,0.1360514899297292
408.0,0.0619879518497233
416.0,0.0856770786917824
432.0,0.0968711399535349
471.0,0.2414927739314656
482.0,0.1401385820992385
554.0,0.1059519525232403
560.0,0.0710023313007338
562.0,0.1296472346634464
577.0,0.1076180443248927
599.0,0.5450683673598347
636.0,0.0718269249419186
669.0,0.0637904689605046
682.0,0.05
691.0,0.105989273205924
694.0,0.2370681525643894
700.0,0.1106720244889484
701.0,0.0713
719.0,0.1296588891978003
723.0,0.0849817423780291
727.0,0.1098217423780291
733.0,0.0506979280030371
737.0,0.1355412135871463
750.0,0.1167471541572029
752.0,0.1264423821195732
765.0,0.1093296130770828
768.0,0.0261406024244942
789.0,0.1093236561773983
803.0,0.1159679735918805
817.0,0.0809642586018925
828.0,0.0938592261541657
831.0,0.2313315217680133
887.0,0.0949117423780291
906.0,0.1873701257023767
907.0,0.1152195148784998
911.0,0.1343280542022742
918.0,0.1927754897366604
944.0,0.1100720053876206
947.0,0.1045381873395461
963.0,0.1380587889848447
965.0,0.0716191486420482
989.0,0.0910227317254404
993.0,0.0862044058197634
995.0,0.1022100648954535
1000.0,0.0705774326684697
1002.0,0.0763108895560505
1004.0,0.1121050324477267
1009.0,0.2045892179799188
1015.0,0.2017798157784401
1024.0,0.0717144319824263
1033.0,0.1092067099303023
1036.0,0.1403424876015066
1046.0,0.1432800134690515
1062.0,0.0832564564713747
1080.0,0.2042872820285096
1101.0,0.0826473123547965
1119.0,0.0741342690095007
1148.0,0.1206625811193169
1167.0,0.0448900991797215
1169.0,0.0850264968785293
1170.0,0.1036030919555597
1172.0,0.0934819786948227
1175.0,0.1067803123547965
1176.0,0.0705827469083806
1179.0,0.253919294229866
1181.0,0.1221725116901694
1192.0,0.3192787098068277
1196.0,0.124
1201.0,0.0870083874128779
