eiaid,p3_lvl_cost_per_kwh
34.0,0.101691675237368
55.0,0.1091370766157087
84.0,0.1188185864104909
87.0,0.0556839528420924
97.0,0.1573847076216618
108.0,0.1058268038637398
122.0,0.0324108353127187
123.0,0.1012529312721199
150.0,0.1758678738455475
155.0,0.1578659114610383
162.0,0.110946327943894
174.0,0.0827505466253757
182.0,0.0945146209664268
183.0,0.0529507337193794
191.0,0.1183021975515315
201.0,0.0986950923056259
202.0,0.0835212943207335
213.0,0.0972799446420143
221.0,0.4207527331268785
228.0,0.111177878853666
232.0,0.0910938073896115
240.0,0.1090304227125346
241.0,0.1891680641251026
266.0,0.0803340621671676
276.0,0.1701393545548831
282.0,0.1379866147649242
287.0,0.0571503279752254
289.0,0.085970310835838
295.0,0.0888405929630746
296.0,0.02
298.0,0.0756979629104408
305.0,0.1474590014176882
307.0,0.0889863494571389
308.0,0.114511925899304
329.0,0.169398334672772
332.0,0.1680044787278216
366.0,0.0712674091681343
367.0,0.0967937540850476
385.0,0.0982268670959711
405.0,0.048552499379312
406.0,0.0899127538704557
407.0,0.120212554803473
408.0,0.0612654869970319
416.0,0.1091670136803562
432.0,0.095133624866867
471.0,0.1930876288011434
482.0,0.1251525144767282
560.0,0.0904903588884787
562.0,0.0957124630585661
577.0,0.1641965088209839
599.0,0.396269018776408
636.0,0.0696550310835838
669.0,0.0902122203133341
682.0,0.05
691.0,0.1030252807539884
694.0,0.2243456684010681
700.0,0.1744448693085747
701.0,0.05844268087513
719.0,0.0938335892674514
723.0,0.080420765275526
727.0,0.168990586077048
733.0,0.0480069515125603
737.0,0.1006625132917502
750.0,0.1796624025084555
752.0,0.106187217097864
765.0,0.1075378006439566
768.0,0.0233171404086589
789.0,0.1066087888544797
803.0,0.1154076307953633
817.0,0.0754259292631387
828.0,0.0902756012879132
831.0,0.1687771930866141
887.0,0.0903507652755259
906.0,0.1594944034998283
907.0,0.1040086055001221
911.0,0.1240702624909947
918.0,0.1707437476504632
944.0,0.0779568540825207
947.0,0.1724096718969442
963.0,0.1215234505957415
965.0,0.0667360834498862
989.0,0.0854301050402283
993.0,0.0757057069323909
995.0,0.0983006559504508
1000.0,0.0635662353733491
1002.0,0.0620469766414366
1004.0,0.1101503279752254
1009.0,0.0929684543495387
1015.0,0.1693755525579689
1024.0,0.0701224337842669
1033.0,0.1066004373003005
1036.0,0.1144248002718461
1046.0,0.1330339857205814
1050.0,0.1504312822044422
1062.0,0.1394454553860581
1080.0,0.2612368745680901
1101.0,0.0772175777089595
1119.0,0.0721524158637702
1148.0,0.1157758199380635
1167.0,0.0422621076111364
1169.0,0.0460882829966296
1170.0,0.1000715925419072
1172.0,0.0914186795294046
1175.0,0.1013505777089595
1176.0,0.0680915846528706
1179.0,0.1834213058140199
1181.0,0.1433935213051723
1196.0,0.124
1201.0,0.0837505466253757
1205.0,0.0778315384765498
1232.0,0.0968124191942184
1233.0,0.1015800992699741
1251.0,0.1061245564928195
1276.0,0.0963430302266144
1283.0,0.0993175713550928
1287.0,0.0976691189721286
1299.0,0.1661586795294046
1300.0,0.061133624866867
1301.0,0.103
1324.0,0.032867249733734
1325.0,0.1798707619153937
1343.0,0.0524066504529186
1346.0,0.0789390858307999
1353.0,0.114526147913289
1366.0,0.117013679144998
1374.0,0.1091425744390255
1386.0,0.0575
1417.0,0.1207535541300057
1434.0,0.066
1456.0,0.1687220251488478
1458.0,0.0816996709009198
1494.0,0.1128460426331844
1512.0,0.0848034195120381
1515.0,0.1041161260482739
1519.0,0.0742188107194947
1523.0,0.2415880914341395
1525.0,0.1029927798176006
1529.0,0.081670310835838
1554.0,0.1516014122996815
1566.0,0.0938954748234507
1571.0,0.1260518979714606
1573.0,0.0912338435170173
1578.0,0.0759610585791711
1581.0,0.071298150484197
1582.0,0.1743653296316058
1586.0,0.096800487017644
1591.0,0.1598191920798699
1601.0,0.1630396582759233
1604.0,0.0952391483828836
1615.0,0.1026727793615938
1618.0,0.1384254680531328
1625.0,0.0473058178571206
1640.0,0.1880492077170744
1647.0,0.1062408557813078
1648.0,0.0202895115705979
1650.0,0.0829854833931444
1651.0,0.3650759811220816
1675.0,0.140574829971729
1677.0,0.1298222345541435
1683.0,0.1281467580966324
1698.0,0.089475382637763
1702.0,0.1726722786871906
1708.0,0.1077057656338302
1723.0,0.0632505466253757
1736.0,0.085868718429893
1753.0,0.0701252733126878
1763.0,0.1055010932507514
1769.0,0.061329567425327
1775.0,0.0763825406265901
1776.0,0.0980940152329433
1779.0,0.1716666772462515
1780.0,0.0869087888544797
1795.0,0.1411771315805865
1800.0,0.1103006559504508
1818.0,0.1011248781386681
1823.0,0.2127232392491498
1826.0,0.0850109325075141
1832.0,0.1386455144960633
1839.0,0.1372410801527087
1857.0,0.1672912685849254
1871.0,0.0827839528420924
1876.0,0.1480219217585087
1883.0,0.1042672497337341
1889.0,0.1322798047124433
1891.0,0.2253573428604623
1896.0,0.0620586014201475
1898.0,0.0668507044061085
1913.0,0.0792850006463254
1936.0,0.1767676103355116
1955.0,0.0778754724903875
1956.0,0.0576748815445122
1970.0,0.044824092379112
1987.0,0.0666806173868292
1997.0,0.096033624866867
2001.0,0.0769019678513525
2010.0,0.1562178336785277
2056.0,0.1601282601300903
2064.0,0.0286
2086.0,0.1281169217585086
2120.0,0.0855744651886934
2128.0,0.1128910689809289
2135.0,0.0578584802744355
2138.0,0.193812358771501
2188.0,0.0785644162442796
2192.0,0.0920004373003005
2206.0,0.0895547181176184
2210.0,0.1294340621671676
2212.0,0.104979904508705
2215.0,0.1419195009603215
2220.0,0.0987122203133341
2236.0,0.0981802811777368
2247.0,0.1493145908780823
2248.0,0.1810034582369636
2268.0,0.1139670310835838
2270.0,0.0932516398761271
2272.0,0.0538271680280676
2273.0,0.1183169217585086
2285.0,0.0843960501807426
2287.0,0.0970744651886934
2289.0,0.0968029764210462
2304.0,0.0695933547985546
2316.0,0.0903507652755259
2354.0,0.1225205466253757
2404.0,0.1098498020544551
2409.0,0.1002070310835838
2411.0,0.1044670310835838
2412.0,0.0824217534860491
2439.0,0.2063489275647274
2448.0,0.1861286947425291
2485.0,0.0671920857461213
2487.0,0.104029362230013
2507.0,0.1454275089672742
2534.0,0.0671692175850866
2545.0,0.0477453136394326
2548.0,0.262332751223947
2551.0,0.1546990823074282
2553.0,0.1103006559504508
2599.0,0.0967335696464074
2609.0,0.1628665972449952
2633.0,0.103983603001852
2634.0,0.0765977130933423
2643.0,0.0699637955831101
2647.0,0.1176267568698485
2650.0,0.1544570682081509
2651.0,0.1236785387917323
2655.0,0.0605428510216473
2678.0,0.0973004505472445
