eiaid,offpeak_tou_cost_per_kwh,cost_per_kwh,state,customers
20065.0,0.0459999999999999,0.0459999999999999,GA,117550
20182.0,0.0585,0.0585,WI,1541
20213.0,0.0553,0.0553,WI,3733
20216.0,0.0732699999999999,0.0732699999999999,IN,11672
20387.0,0.0414599999999999,0.0414599999999999,PA,452529
20434.0,0.0474999999999999,0.0474999999999999,WI,994
20583.0,0.0609999999999999,0.0609999999999999,WI,782
20603.0,0.081538,0.081538,IN,25916
20847.0,0.0469699999999999,0.0469699999999999,WI,1005530
20856.0,0.0739999999999999,0.0739999999999999,WI,410620
20860.0,0.04632,0.04632,WI,388063
20862.0,0.0549999999999999,0.0549999999999999,WI,12170
21538.0,0.1141102857142857,0.1141102857142857,AZ,36655
22500.0,0.1002309999999999,0.1002309999999999,KS,329457
23326.0,0.0755999999999999,0.0755999999999999,NM,3595
24211.0,0.126115485,0.126115485,AZ,381556
26510.0,0.1109999999999999,0.1109999999999999,NH,31920
27058.0,0.0535799999999999,0.0535799999999999,WY,4809
27316.0,0.1113999999999999,0.1113999999999999,VT,3390
30518.0,0.0449,0.0449,AZ,21986
40220.0,0.0599999999999999,0.0599999999999999,PA,30628
40221.0,0.0670099999999999,0.0670099999999999,PA,8610
40289.0,0.0594099999999999,0.0594099999999999,PA,17206
55937.0,0.0606685,0.0606685,TX,390771
