state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
AL,Walker,0.97,0.21,0.19,0.16,0.18609097088263277
AL,Washington,1.54,0.24,0.2,0.13,0.18706065119172233
AL,Wilcox,0.93,0.19,0.16,0.13,0.15673546020479728
AL,Winston,0.97,0.21,0.19,0.16,0.18609097088263277
AR,Arkansas,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Ashley,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Baxter,1.87,0.25,0.2,0.15,0.19725142960899156
AR,Benton,0.94,0.19,0.17,0.13,0.16243189361825122
AR,Boone,0.94,0.17,0.14,0.12,0.1405337958795752
AR,Bradley,0.99,0.2,0.17,0.12,0.1599047101124214
AR,Calhoun,0.99,0.2,0.17,0.13,0.1634941581716048
AR,Carroll,0.94,0.17,0.14,0.12,0.1405337958795752
AR,Chicot,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Clark,2.58,0.3,0.21,0.14,0.20780305196394772
AR,Clay,1.11,0.23,0.19,0.16,0.1884940168101326
AR,Cleburne,0.97,0.19,0.14,0.11,0.13858147249071173
AR,Cleveland,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Columbia,1.66,0.23,0.18,0.13,0.1759284747102262
AR,Conway,0.97,0.19,0.14,0.11,0.13858147249071173
AR,Craighead,0.95,0.19,0.15,0.11,0.1440690182885711
AR,Crawford,0.94,0.18,0.16,0.13,0.1560909708826328
AR,Crittenden,0.93,0.18,0.15,0.12,0.14680508940999548
AR,Cross,1.74,0.24,0.18,0.13,0.17719962687917434
AR,Dallas,1.78,0.25,0.17,0.13,0.17256545801907397
AR,Desha,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Drew,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Faulkner,0.97,0.19,0.14,0.11,0.13858147249071173
AR,Franklin,0.94,0.18,0.16,0.13,0.1560909708826328
AR,Fulton,1.87,0.25,0.2,0.15,0.19725142960899156
AR,Garland,0.98,0.2,0.17,0.13,0.1634245289664066
AR,Grant,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Greene,0.96,0.2,0.16,0.13,0.15765846634775452
AR,Hempstead,1.66,0.23,0.2,0.13,0.18718208312673773
AR,Hot Spring,2.58,0.3,0.21,0.14,0.20780305196394772
AR,Howard,1.95,0.24,0.18,0.13,0.17866184018833597
AR,Independence,0.98,0.2,0.18,0.13,0.1690513331746623
AR,Izard,1.87,0.25,0.2,0.15,0.19725142960899156
AR,Jackson,2.17,0.27,0.2,0.14,0.19717909476047876
AR,Jefferson,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Johnson,0.96,0.18,0.15,0.13,0.15060342508477337
AR,Lafayette,1.66,0.23,0.18,0.13,0.1759284747102262
AR,Lawrence,1.41,0.22,0.18,0.14,0.17706307411209257
AR,Lee,1.74,0.24,0.18,0.13,0.17719962687917434
AR,Lincoln,0.98,0.2,0.17,0.12,0.1598350809072232
AR,Little River,1.66,0.23,0.18,0.13,0.1759284747102262
AR,Logan,0.94,0.18,0.14,0.13,0.14483736246612128
AR,Lonoke,0.98,0.2,0.17,0.13,0.1634245289664066
