state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
TN,Lincoln,2.45,0.36,0.41,0.28,0.37397094045422985
TN,Loudon,2.42,0.35,0.41,0.28,0.37304793431127264
TN,Macon,2.42,0.35,0.38,0.25,0.34539917750895527
TN,Madison,2.41,0.35,0.4,0.26,0.360172604779452
TN,Marion,2.42,0.36,0.31,0.25,0.3067256665785278
TN,Marshall,2.45,0.36,0.41,0.28,0.37397094045422985
TN,Maury,2.41,0.35,0.39,0.26,0.3545458005711962
TN,McMinn,2.43,0.35,0.33,0.23,0.31015588955450796
TN,McNairy,2.43,0.35,0.38,0.27,0.3526477028325202
TN,Meigs,2.42,0.35,0.38,0.25,0.34539917750895527
TN,Monroe,2.42,0.35,0.38,0.28,0.35616752168650545
TN,Montgomery,2.41,0.36,0.39,0.26,0.3552599190985589
TN,Moore,2.39,0.34,0.36,0.25,0.33322256294948654
TN,Morgan,2.43,0.36,0.41,0.28,0.3738316820438335
TN,Obion,2.4,0.34,0.35,0.24,0.3240759398872456
TN,Overton,2.42,0.35,0.38,0.25,0.34539917750895527
TN,Perry,2.47,0.35,0.3,0.23,0.2935539937505334
TN,Pickett,2.41,0.34,0.3,0.23,0.2924220999919817
TN,Polk,2.4,0.35,0.33,0.26,0.3207153461164636
TN,Putnam,2.41,0.35,0.39,0.25,0.35095635251201285
TN,Rhea,2.43,0.36,0.31,0.24,0.30320584772454257
TN,Roane,2.43,0.37,0.42,0.28,0.380172604779452
TN,Robertson,2.42,0.37,0.39,0.26,0.35604366683111976
TN,Rutherford,2.41,0.34,0.41,0.27,0.36867473851952837
TN,Scott,2.41,0.35,0.36,0.25,0.3340759398872456
TN,Sequatchie,2.42,0.36,0.31,0.25,0.3067256665785278
TN,Sevier,2.41,0.35,0.38,0.26,0.34891899636294044
TN,Shelby,2.42,0.35,0.38,0.22,0.3346308333314051
TN,Smith,2.41,0.34,0.39,0.26,0.35383168204383353
TN,Stewart,2.42,0.39,0.39,0.25,0.3538824558266618
TN,Sullivan,2.4,0.35,0.36,0.23,0.32682741456368064
TN,Sumner,2.42,0.37,0.39,0.27,0.3596331148903032
TN,Tipton,2.43,0.35,0.3,0.24,0.29686492498892414
TN,Trousdale,2.41,0.34,0.39,0.26,0.35383168204383353
TN,Unicoi,2.4,0.35,0.37,0.25,0.3396331148903032
TN,Union,2.44,0.36,0.41,0.27,0.3703118631898483
TN,Van Buren,2.42,0.36,0.36,0.24,0.33127023956062307
TN,Warren,2.41,0.35,0.35,0.24,0.3248596876198065
TN,Washington,2.44,0.35,0.38,0.27,0.3527173320377184
TN,Wayne,2.43,0.35,0.39,0.27,0.358274507040776
TN,Weakley,2.4,0.34,0.3,0.23,0.29235247078678356
TN,White,2.4,0.35,0.35,0.23,0.3212006103554249
TN,Williamson,2.41,0.35,0.39,0.26,0.3545458005711962
TN,Wilson,2.41,0.34,0.41,0.27,0.36867473851952837
TX,Anderson,2.88,0.35,0.36,0.21,0.3229907202948262
TX,Andrews,3.65,0.43,0.31,0.2,0.30234164821352505
TX,Angelina,2.88,0.35,0.31,0.21,0.2948566992535475
TX,Aransas,2.55,0.39,0.37,0.23,0.3363551309593598
