state,county,p1_lcoc,p2_lcoc,p3_lcoc,p4_lcoc,comb_lcoc
IA,Linn,1.68,0.27,0.22,0.17,0.21578921629982992
IA,Louisa,1.69,0.27,0.22,0.19,0.22303774162339488
IA,Lucas,1.67,0.26,0.21,0.18,0.2129681124181967
IA,Lyon,1.64,0.25,0.2,0.16,0.19923940594861694
IA,Madison,1.61,0.23,0.17,0.13,0.16995352447597967
IA,Mahaska,1.67,0.26,0.21,0.18,0.2129681124181967
IA,Marion,1.67,0.26,0.21,0.18,0.2129681124181967
IA,Marshall,2.8,0.33,0.23,0.18,0.23708865071364066
IA,Mills,1.73,0.31,0.24,0.18,0.23383689291096643
IA,Mitchell,1.71,0.28,0.23,0.19,0.22951792276940966
IA,Monona,1.62,0.25,0.19,0.15,0.18988389527078148
IA,Monroe,1.64,0.25,0.19,0.14,0.1864337056219944
IA,Montgomery,1.65,0.26,0.21,0.17,0.20923940594861695
IA,Muscatine,1.65,0.27,0.23,0.18,0.22479658095167454
IA,O'Brien,1.7,0.26,0.2,0.17,0.2039607477663521
IA,Osceola,1.67,0.25,0.2,0.17,0.20303774162339486
IA,Page,1.64,0.29,0.24,0.2,0.23896088912782426
IA,Palo Alto,1.65,0.25,0.19,0.15,0.190092782886376
IA,Plymouth,1.66,0.25,0.19,0.16,0.19375186015075754
IA,Pocahontas,1.67,0.26,0.21,0.16,0.20578921629982988
IA,Polk,1.67,0.26,0.21,0.16,0.20578921629982988
IA,Pottawattamie,1.68,0.27,0.22,0.18,0.21937866435901332
IA,Poweshiek,1.64,0.27,0.22,0.18,0.2191001475382206
IA,Ringgold,1.67,0.27,0.23,0.19,0.22852528742125425
IA,Sac,1.65,0.25,0.19,0.15,0.190092782886376
IA,Scott,1.65,0.27,0.23,0.18,0.22479658095167454
IA,Shelby,1.68,0.26,0.2,0.15,0.19664259323758895
IA,Sioux,1.69,0.26,0.22,0.17,0.21514472697766537
IA,Story,1.67,0.27,0.22,0.17,0.21571958709463174
IA,Tama,1.67,0.26,0.21,0.18,0.2129681124181967
IA,Taylor,1.64,0.26,0.21,0.18,0.21275922480260218
IA,Union,1.67,0.26,0.21,0.18,0.2129681124181967
IA,Van Buren,1.69,0.3,0.26,0.19,0.24768731403850588
IA,Wapello,2.43,0.32,0.25,0.18,0.24505186001045703
IA,Warren,1.67,0.27,0.22,0.18,0.2193090351538151
IA,Washington,1.69,0.27,0.22,0.19,0.22303774162339488
IA,Wayne,1.67,0.26,0.21,0.17,0.20937866435901328
IA,Webster,1.66,0.26,0.21,0.17,0.2093090351538151
IA,Winnebago,1.68,0.28,0.23,0.19,0.22930903515381512
IA,Winneshiek,1.73,0.28,0.24,0.2,0.2388734334472451
IA,Woodbury,1.65,0.26,0.2,0.17,0.20361260174036122
IA,Worth,1.76,0.28,0.23,0.19,0.22986606879540053
IA,Wright,1.67,0.26,0.21,0.16,0.20578921629982988
ID,Ada,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Adams,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Bannock,1.6,0.23,0.15,0.1,0.14786194267671982
ID,Bear Lake,1.66,0.26,0.13,0.08,0.13198956895511868
ID,Benewah,1.65,0.23,0.22,0.17,0.2127238545747846
ID,Bingham,1.6,0.23,0.15,0.1,0.14786194267671982
ID,Blaine,1.61,0.21,0.16,0.13,0.1628984832129985
ID,Boise,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Bonner,2.15,0.29,0.24,0.18,0.2353330824745643
ID,Bonneville,1.96,0.27,0.17,0.11,0.16806812464899973
ID,Boundary,2.14,0.28,0.21,0.16,0.21049002599886943
ID,Butte,1.63,0.24,0.15,0.11,0.1523743968788604
ID,Camas,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Canyon,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Caribou,1.66,0.26,0.13,0.08,0.13198956895511868
ID,Cassia,1.61,0.22,0.18,0.14,0.17845565821605605
ID,Clark,1.93,0.26,0.19,0.13,0.18557762304092074
ID,Clearwater,1.65,0.23,0.23,0.16,0.21476121072385693
ID,Custer,1.65,0.22,0.17,0.13,0.16951792276940963
ID,Elmore,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Franklin,1.66,0.26,0.13,0.08,0.13198956895511868
ID,Fremont,2.05,0.28,0.19,0.13,0.18784141055802422
ID,Gem,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Gooding,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Idaho,1.65,0.23,0.19,0.15,0.1886645458316506
ID,Jefferson,2.05,0.28,0.19,0.13,0.18784141055802422
ID,Jerome,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Kootenai,2.15,0.29,0.24,0.18,0.2353330824745643
ID,Latah,1.65,0.23,0.23,0.16,0.21476121072385693
ID,Lemhi,1.62,0.21,0.16,0.12,0.1593786643590133
ID,Lewis,1.65,0.23,0.23,0.16,0.21476121072385693
ID,Lincoln,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Madison,2.05,0.28,0.19,0.13,0.18784141055802422
ID,Minidoka,1.61,0.22,0.18,0.14,0.17845565821605605
ID,Nez Perce,1.65,0.23,0.23,0.16,0.21476121072385693
ID,Oneida,1.62,0.25,0.16,0.13,0.16582458652764748
ID,Owyhee,1.59,0.23,0.18,0.14,0.17903051833302241
ID,Payette,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Power,1.62,0.25,0.16,0.13,0.16582458652764748
ID,Shoshone,1.65,0.23,0.23,0.16,0.21476121072385693
ID,Teton,2.05,0.28,0.19,0.13,0.18784141055802422
ID,Twin Falls,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Valley,1.55,0.2,0.16,0.13,0.16176658945444677
ID,Washington,1.58,0.21,0.16,0.11,0.15551069947903723
IL,Adams,1.73,0.29,0.21,0.15,0.20475989905392364
IL,Alexander,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Bond,1.65,0.24,0.18,0.16,0.1873413082099409
IL,Boone,1.62,0.22,0.18,0.14,0.17852528742125423
IL,Brown,1.75,0.28,0.22,0.14,0.20622239508602963
IL,Bureau,1.61,0.18,0.13,0.09,0.12951792276940963
IL,Calhoun,1.73,0.23,0.17,0.11,0.16361017881999096
IL,Carroll,1.64,0.23,0.14,0.09,0.13892420723007337
IL,Cass,1.73,0.23,0.17,0.11,0.16361017881999096
IL,Champaign,1.64,0.23,0.17,0.13,0.17016241209157418
IL,Christian,1.79,0.31,0.22,0.17,0.21941161166646062
IL,Clark,1.64,0.24,0.19,0.16,0.1928984832129985
IL,Clay,1.67,0.27,0.22,0.19,0.22289848321299852
IL,Clinton,1.64,0.25,0.19,0.16,0.19361260174036118
IL,Coles,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Cook,1.58,0.18,0.14,0.09,0.13493583936207085
IL,Crawford,1.65,0.22,0.17,0.13,0.16951792276940963
IL,Cumberland,1.67,0.27,0.22,0.18,0.2193090351538151
IL,DeKalb,1.58,0.18,0.14,0.09,0.13493583936207085
IL,DeWitt,1.66,0.22,0.17,0.13,0.16958755197460781
IL,Douglas,1.63,0.18,0.12,0.08,0.12044092891236685
IL,DuPage,1.57,0.18,0.14,0.09,0.13486621015687267
IL,Edgar,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Edwards,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Effingham,1.67,0.27,0.22,0.18,0.2193090351538151
IL,Fayette,1.73,0.27,0.21,0.18,0.2141000061767484
IL,Ford,1.61,0.18,0.13,0.09,0.12951792276940963
IL,Franklin,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Fulton,1.63,0.23,0.18,0.14,0.1793090351538151
IL,Gallatin,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Greene,1.67,0.27,0.21,0.16,0.20650333482719258
IL,Grundy,1.58,0.18,0.14,0.09,0.13493583936207085
IL,Hamilton,1.68,0.32,0.27,0.24,0.2726199663922058
IL,Hancock,1.68,0.28,0.22,0.18,0.22009278288637601
IL,Hardin,1.63,0.22,0.17,0.13,0.16937866435901328
IL,Henderson,1.63,0.28,0.2,0.16,0.20131213232550685
IL,Henry,1.63,0.25,0.17,0.1,0.1607526757635512
IL,Iroquois,1.68,0.23,0.18,0.14,0.17965718117980597
IL,Jackson,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Jasper,1.67,0.27,0.21,0.18,0.21368223094555938
IL,Jefferson,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Jersey,1.67,0.26,0.21,0.14,0.1986103201814631
IL,Jo Daviess,1.58,0.21,0.15,0.12,0.15347334332996485
IL,Johnson,1.63,0.18,0.12,0.08,0.12044092891236685
IL,Kane,2.5,0.42,0.31,0.22,0.3007990672067392
IL,Kankakee,1.58,0.18,0.14,0.09,0.13493583936207085
