state,county,p1_lvl_cost_per_kwh
AK,Aleutians East,0.3115
AK,Aleutians West,0.6400000000000001
AK,Anchorage,2.2760301655904827
AK,Bethel,0.5892333108997639
AK,Bristol Bay,0.2047641835799076
AK,Denali,0.272501122386605
AK,Dillingham,0.549233310899764
AK,Fairbanks North Star,0.4881320994391166
AK,Haines,1.9706270299989512
AK,Hoonah-Angoon,1.9706270299989512
AK,Juneau,0.1425563749881679
AK,Kenai Peninsula,2.2760301655904827
AK,Ketchikan Gateway,0.1239859719021305
AK,Kodiak Island,0.3149980840153058
AK,Kusilvak,0.5284666217995279
AK,Lake and Peninsula,0.9209940305966514
AK,Matanuska Susitna,0.7476921733562193
AK,Nome,0.5742333108997639
AK,North Slope,0.2
AK,Northwest Arctic,0.3856183873913921
AK,Not Applicable,0.5082993606193222
AK,Petersburg,0.1325892550739723
AK,Prince of Wales-Hyder,0.8110806530985045
AK,Sitka,0.5082993606193222
AK,Skagway,1.1603135149994757
AK,Southeast Fairbanks,0.272501122386605
AK,Valdez Cordova,0.26790761498502746
AK,Wrangell,0.1468838826109584
AK,Yakutat,0.5284666217995279
AK,Yukon Koyukuk,0.40048387209306646
AL,Autauga,0.11463
AL,Baldwin,0.147778808618112
AL,Barbour,0.447486172386676
AL,Bibb,0.11463
AL,Blount,0.1507584390148607
AL,Bullock,0.1507584390148607
AL,Butler,0.1507584390148607
AL,Calhoun,0.16976567593074476
AL,Chambers,0.1808865457144864
AL,Cherokee,0.1705949596023429
AL,Chilton,0.11463
AL,Choctaw,0.1166850764916281
AL,Clarke,0.1166850764916281
AL,Clay,0.3082112823229113
AL,Cleburne,0.447486172386676
AL,Coffee,0.131785673431963
AL,Colbert,0.1809630636920843
AL,Conecuh,0.6216200838224802
AL,Coosa,0.11463
AL,Covington,0.1859701529832563
AL,Crenshaw,0.1194922397756466
AL,Cullman,0.179291508787451
AL,Dale,0.1507584390148607
AL,Dallas,0.11565753824581404
AL,DeKalb,0.16020703334531114
AL,Elmore,0.11463
AL,Escambia,0.1507584390148607
AL,Etowah,0.1705949596023429
AL,Fayette,0.1507584390148607
AL,Franklin,0.18479068165026996
AL,Geneva,0.1507584390148607
AL,Greene,0.1166850764916281
AL,Hale,0.1166850764916281
AL,Henry,0.1507584390148607
AL,Houston,0.1507584390148607
AL,Jackson,0.1395075125079508
AL,Jefferson,0.17672681011738106
AL,Lamar,0.1507584390148607
AL,Lauderdale,0.1623301529832563
AL,Lawrence,0.1932906205257235
AL,Lee,0.5966754127857598
AL,Limestone,0.1333231777216069
AL,Lowndes,0.11463
AL,Macon,0.1604320917899538
