entity,state,customers,sales_mwh,revenue_thousands_dollars,avg_price_cents_per_kwh,eiaid
City of Lamoni - (IA),IA,921,"8,103",892,11.01,10650
City of Laurens - (IA),IA,655,"10,058",897,8.92,10769
City of Lenox - (IA),IA,607,"6,821",693.6,10.17,10908
City of Manning,IA,690,"7,048",751,10.66,11581
City of Maquoketa - (IA),IA,2794,"22,183","2,851.90",12.86,11611
City of Milford - (IA),IA,1214,"13,454","1,454.00",10.81,12541
City of Montezuma - (IA),IA,758,"6,667",649,9.73,12839
City of Mt Pleasant - (IA),IA,3461,"26,903","3,484.70",12.95,13038
City of New Hampton - (IA),IA,1674,"13,434","1,324.00",9.86,13444
City of Onawa - (IA),IA,1574,"15,048","1,526.10",10.14,14132
City of Orange City - (IA),IA,1948,"22,351","2,232.00",9.99,14159
City of Osage - (IA),IA,1843,"14,198","1,573.30",11.08,14201
City of Pella - (IA),IA,4133,"36,514","4,300.40",11.78,14645
City of Preston,IA,497,"3,712",610,16.43,15349
City of Remsen - (IA),IA,690,"8,197",754,9.2,15846
City of Sanborn - (IA),IA,576,"6,620",701.4,10.6,16628
City of Sergeant Bluff - (IA),IA,1567,"16,594","3,353.40",20.21,16932
City of Sibley - (IA),IA,1280,"13,815","1,313.60",9.51,17141
City of Sioux Center,IA,2272,"26,640","2,456.00",9.22,17264
City of Spencer - (IA),IA,5305,"61,054","5,257.00",8.61,17783
City of Story City - (IA),IA,1695,"16,045","1,941.60",12.1,18177
City of Tipton - (IA),IA,1436,"11,179","1,206.00",10.79,18947
City of Vinton - (IA),IA,2128,"17,527","2,152.80",12.28,19865
City of Webster City - (IA),IA,3847,"31,037","3,925.00",12.65,20259
City of West Liberty - (IA),IA,1342,"11,822","1,445.00",12.22,20380
City of Wilton,IA,1308,"11,249","1,255.80",11.16,20789
City of Winterset - (IA),IA,2263,"20,306","2,758.00",13.58,20835
Clarke Electric Coop Inc - (IA),IA,5077,"62,741","8,474.80",13.51,3722
Consumers Energy,IA,5986,"75,992","11,261.00",14.82,11788
East-Central Iowa Rural Elec Coop,IA,7832,"127,215","14,891.00",11.71,5588
Eastern Iowa Light & Power Coop,IA,21715,"291,716","38,205.60",13.1,5605
Eldridge City Utilities,IA,2369,"20,523","1,629.00",7.94,5742
Farmers Electric Coop - (IA),IA,602,"11,214","1,388.00",12.38,6168
"Farmers Electric Coop, Inc - (IA)",IA,4678,"61,840","8,553.90",13.83,6112
Federated Rural Electric Assn,IA,59,"1,055",110.6,10.48,6258
Franklin Rural Electric Coop - (IA),IA,1457,"29,002","3,756.90",12.95,6722
Freeborn-Mower Coop Services,IA,6,95,13,13.68,6782
Grundy Center Mun Light & Power,IA,1262,"11,986","1,248.00",10.41,7743
Grundy County Rural Elec Coop,IA,1844,"26,760","3,857.00",14.41,7864
"Grundy Electric Coop, Inc",IA,224,"2,615",325.9,12.46,7720
Guthrie County Rural E C A,IA,4536,"65,802","7,419.70",11.28,7750
Harlan Municipal Utilities - (IA),IA,2310,"23,428","2,890.00",12.34,8122
Harrison County Rrl Elec Coop,IA,3338,"46,523","7,118.00",15.3,8283
Heartland Power Coop,IA,4319,"82,477","9,878.90",11.98,8319
Indianola Municipal Utilities,IA,7291,"51,943","6,265.00",12.06,9275
Interstate Power and Light Co,IA,403160,"3,507,789","535,620.00",15.27,9417
Iowa Lakes Electric Coop,IA,9247,"168,622","22,847.80",13.55,9425
Linn County REC,IA,25337,"270,376","32,620.00",12.06,11053
Lyon Rural Electric Coop,IA,2128,"63,819","6,384.00",10.0,11298
Maquoketa Valley Rrl Elec Coop,IA,10298,"128,071","15,801.90",12.34,12642
MiEnergy Cooperative,IA,5824,"74,835","11,292.80",15.09,19157
MidAmerican Energy Co,IA,583485,"5,544,907","584,941.00",10.55,12341
Midland Power Coop,IA,11102,"200,830","25,159.00",12.53,12450
Nishnabotna Valley R E C,IA,3506,"59,189","8,035.80",13.58,13675
Nobles Cooperative Electric,IA,10,134,16,11.94,13684
North West Rural Electric Coop,IA,9054,"249,678","22,895.50",9.17,17260
"Osceola Electric Coop, Inc",IA,1064,"30,934","3,519.30",11.38,14202
Pella Cooperative Elec Assn,IA,2676,"36,932","5,039.40",13.65,26765
Pleasant Hill Community Line,IA,95,"1,453",137.4,9.46,60080
Prairie Energy Coop,IA,3544,"59,193","7,698.20",13.01,15291
Raccoon Valley Electric Cooperative,IA,2266,"44,826","6,457.00",14.4,7303
Rock Rapids Municipal Utility,IA,1114,"12,650","1,085.60",8.58,16206
"Southern Iowa Elec Coop, Inc",IA,4557,"56,910","9,086.90",15.97,17643
Southwest Iowa Rural Elec Coop,IA,5565,"68,119","8,953.90",13.14,49986
T I P Rural Electric Coop,IA,5917,"74,089","9,509.30",12.83,18446
Town of Manilla - (IA),IA,398,"4,561",377,8.27,11568
"United Electric Coop, Inc - (MO)",IA,502,"5,841",995,17.03,22646
Waverly Municipal Elec Utility,IA,4494,"37,899","5,387.60",14.22,20214
Western Iowa Power Coop,IA,3990,"63,785","9,176.70",14.39,19437
Woodbury County Rural E C A,IA,3208,"52,251","7,181.90",13.75,20951
Avista Corp,ID,113236,"1,243,422","122,715.40",9.87,20169
City of Burley - (ID),ID,3943,"46,865","3,727.00",7.95,2545
City of Idaho Falls - (ID),ID,23830,"290,498","21,590.90",7.43,9187
City of Rupert - (ID),ID,2593,"37,193","2,802.00",7.53,16416
Clearwater Power Company,ID,8734,"125,151","13,539.30",10.82,3739
Fall River Rural Elec Coop Inc,ID,11989,"148,576","16,364.00",11.01,6169
Idaho Power Co,ID,435376,"5,161,441","533,040.70",10.33,9191
Inland Power & Light Company,ID,1611,"28,216","2,229.00",7.9,8699
Kootenai Electric Coop Inc,ID,22796,"325,993","31,702.10",9.72,10454
Lower Valley Energy Inc,ID,1335,"15,476",985.9,6.37,11273
"Missoula Electric Coop, Inc",ID,37,533,54.6,10.24,12692
"Northern Lights, Inc",ID,14847,"190,561","20,375.00",10.69,13758
PacifiCorp,ID,63139,"712,438","75,878.00",10.65,14354
Raft River Rural Elec Coop Inc,ID,1322,"24,548","2,108.00",8.59,22814
Salmon River Electric Coop Inc,ID,2195,"33,081","2,995.30",9.05,16565
"United Electric Co-op, Inc - (ID)",ID,4245,"93,674","6,580.00",7.02,19502
"Vigilante Electric Coop, Inc",ID,35,126,17.2,13.65,23586
Adams Electric Coop,IL,8603,"109,301","16,341.00",14.95,97
Ameren Illinois Company,IL,433310,"4,540,928","472,386.60",10.4,56697
City of Batavia - (IL),IL,9596,"85,510","12,050.20",14.09,1325
City of Flora - (IL),IL,2370,"21,666","3,204.00",14.79,6417
City of Geneva- (IL),IL,9285,"77,808","9,971.00",12.81,7096
City of Highland,IL,5832,"64,861","7,851.40",12.1,8573
City of Naperville - (IL),IL,53060,"502,468","65,557.30",13.05,13208
City of Peru - (IL),IL,4752,"36,242","4,091.00",11.29,14840
City of Princeton - (IL),IL,3796,"29,082","3,095.00",10.64,15388
City of Springfield - (IL),IL,59920,"628,929","76,311.30",12.13,17828
City of St Charles - (IL),IL,13335,"115,564","16,391.70",14.18,17860
"Clinton County Elec Coop, Inc",IL,5286,"84,479","11,042.00",13.07,3806
Coles-Moultrie Electric Coop,IL,8531,"115,002","15,780.00",13.72,3931
Commonwealth Edison Co,IL,2388950,"16,504,207","2,129,208.70",12.9,4110
Corn Belt Energy Corporation,IL,33778,"381,155","51,359.70",13.47,4362
Eastern Illinois Elec Coop,IL,11260,"170,864","25,828.00",15.12,5585
Egyptian Electric Coop Assn,IL,13663,"189,944","25,239.00",13.29,5535
Illinois Rural Electric Coop,IL,10059,"119,519","21,451.00",17.95,9209
"Jo-Carroll Energy, Inc",IL,18005,"145,011","23,730.30",16.36,9750
M J M Electric Cooperative Inc,IL,9141,"106,236","16,487.30",15.52,8824
Menard Electric Coop,IL,9092,"113,039","17,334.40",15.33,12395
MidAmerican Energy Co,IL,74159,"606,472","67,746.70",11.17,12341
"Monroe County Elec Coop, Inc",IL,7168,"98,162","14,365.00",14.63,12803
Mt Carmel Public Utility Co,IL,4438,"47,824","6,900.80",14.43,13032
Norris Electric Coop,IL,17692,"242,109","31,367.20",12.96,13292
Rochelle Municipal Utilities,IL,5869,"44,362","5,438.00",12.26,16179
Rock Energy Cooperative,IL,9208,"80,969","11,036.00",13.63,16196
Rural Electric Conven Coop,IL,5475,"80,662","11,813.70",14.65,16420
Scenic Rivers Energy Coop,IL,13,224,27,12.05,16740
"Shelby Electric Coop, Inc",IL,9668,"119,774","20,749.60",17.32,17040
"Southeastern IL Elec Coop, Inc",IL,22014,"302,311","38,479.00",12.73,17585
Southern Illinois Elec Coop,IL,10823,"143,813","21,867.00",15.21,17631
Southwestern Electric Coop Inc - (IL),IL,22432,"302,591","40,411.00",13.35,17697
"Tri-County Electric Coop, Inc",IL,15815,"224,222","32,722.80",14.59,18955
Village of Rantoul - (IL),IL,5549,"41,571","5,753.00",13.84,15686
Village of Winnetka - (IL),IL,5093,"80,533","9,622.00",11.95,20824
Wayne-White Counties Elec Coop,IL,11965,"145,404","22,197.50",15.27,20222
Bartholomew County Rural E M C,IN,10918,"148,983","19,025.00",12.77,1283
Boone County Rural EMC,IN,13909,"221,275","29,704.00",13.42,24753
Bremen Electric Light & Power Co,IN,1906,"14,305","1,534.50",10.73,2192
Carroll-White REMC,IN,14396,"177,063","24,236.00",13.69,27599
City of Anderson - (IN),IN,31302,"291,037","34,765.80",11.95,636
City of Auburn - (IN),IN,6436,"61,201","5,699.60",9.31,994
City of Bluffton - (IN),IN,4882,"43,663","4,152.00",9.51,1896
City of Columbia City - (IN),IN,4368,"44,405","4,868.30",10.96,4007
City of Frankfort - (IN),IN,7657,"73,903","7,739.00",10.47,6707
City of Greendale,IN,1925,"20,785","2,315.00",11.14,6907
City of Greenfield - (IN),IN,9853,"92,575","9,139.50",9.87,7627
City of Jasper - (IN),IN,6004,"68,494","7,170.00",10.47,9667
City of Lebanon - (IN),IN,7721,"71,726","8,239.60",11.49,9613
City of Logansport - (IN),IN,10963,"93,276","10,702.00",11.47,11142
City of Mishawaka,IN,22495,"157,034","19,691.00",12.54,12674
City of Peru - (IN),IN,8850,"81,659","9,464.70",11.59,14839
City of Rensselaer - (IN),IN,2585,"22,105","2,629.00",11.89,15860
City of Richmond - (IN),IN,15785,"173,000","18,265.00",10.56,15989
City of Scottsburg - (IN),IN,2801,"32,082","3,112.90",9.7,16830
City of Tell City - (IN),IN,3530,"34,632","4,060.10",11.72,18538
City of Washington - (IN),IN,6405,"69,497","7,280.00",10.48,20139
Clark County Rural E M C - (IN),IN,22772,"339,605","43,435.00",12.79,22822
"Crawfordsville Elec, Lgt & Pwr",IN,8292,"80,973","9,226.10",11.39,4508
Daviess Martin County R E M C,IN,7594,"113,429","14,164.60",12.49,4848
Decatur County Rural E M C,IN,7526,"104,093","14,435.10",13.87,4960
Dubois Rural Electric Coop Inc,IN,12692,"157,201","19,289.00",12.27,5394
"Duke Energy Indiana, LLC",IN,714024,"8,644,836","1,005,552.30",11.63,15470
Harrison County Rural E M C,IN,21622,"327,758","38,478.80",11.74,8179
Heartland REMC,IN,16952,"250,664","31,748.00",12.67,59505
Hendricks County Rural E M C,IN,30883,"449,641","55,099.00",12.25,8447
Henry County Rural E M C,IN,9386,"136,454","17,533.00",12.85,8466
Indiana Michigan Power Co,IN,404798,"4,165,181","485,084.70",11.65,9324
Indianapolis Power & Light Co,IN,437120,"4,915,435","538,434.00",10.95,9273
Jackson County Rural E M C - (IN),IN,23331,"350,734","42,931.00",12.24,9576
Jasper County Rural E M C,IN,7646,"97,360","12,184.90",12.52,9665
Jay County Rural E M C,IN,5280,"89,334","12,510.00",14.0,9666
Johnson County Rural E M C,IN,24046,"315,789","40,545.80",12.84,9778
Kankakee Valley Rural E M C,IN,18492,"208,047","26,868.90",12.91,9999
Kosciusko County Rural E M C,IN,16866,"180,825","21,519.10",11.9,10448
Lagrange County Rural E M C,IN,6751,"59,721","8,630.00",14.45,10562
Lawrenceburg Municipal Utils,IN,2693,"28,549","3,023.00",10.59,10798
Marshall County Rural E M C,IN,6132,"67,477","10,631.00",15.75,11767
Miami-Cass County Rural E M C,IN,5659,"73,645","10,062.00",13.66,12406
Midwest Energy Cooperative,IN,291,"3,402",494.2,14.53,12377
NineStar Connect,IN,13455,"208,194","28,202.00",13.55,8000
Noble County R E M C,IN,10598,"129,118","16,087.90",12.46,13647
Northeastern Rural E M C,IN,25916,"327,617","41,323.00",12.61,20603
Northern Indiana Pub Serv Co,IN,409401,"3,301,699","476,871.10",14.44,13756
Orange County Rural E M C,IN,7783,"93,192","13,007.10",13.96,14160
Parke County Rural E M C,IN,12208,"139,527","19,433.70",13.93,14471
"Paulding-Putman Elec Coop, Inc",IN,3348,"39,019","5,057.40",12.96,14599
RushShelby Energy,IN,14376,"196,934","27,110.00",13.77,17038
South Central Indiana REMC,IN,33155,"417,514","65,089.30",15.59,12929
Southeastern Indiana R E M C,IN,22621,"350,754","47,452.00",13.53,17599
Southern Indiana Gas & Elec Co,IN,122507,"1,362,457","206,778.90",15.18,17633
"Southern Indiana R E C, Inc",IN,8667,"104,276","13,639.00",13.08,19445
Steuben County Rural E M C,IN,9084,"84,024","10,397.90",12.37,18100
Tipmont Rural Elec Member Corp,IN,25251,"300,534","40,418.00",13.45,18940
Tipton Municipal Electric Util,IN,3291,"37,270","3,756.00",10.08,18942
Utilities Dist-Western IN REMC,IN,17916,"223,046","34,715.00",15.56,19667
Western Indiana Energy REMC,IN,14629,"213,665","25,158.80",11.77,25295
Whitewater Valley Rural EMC,IN,11672,"159,405","20,146.00",12.64,20216
"Alfalfa Electric Coop, Inc",KS,227,"3,789",372,9.82,296
"Ark Valley Elec Coop Assn, Inc",KS,4203,"44,123","7,030.30",15.93,40208
Bluestem Electric Coop Inc,KS,5562,"65,800","11,305.00",17.18,23826
Brown-Atchison E C A Inc,KS,2812,"29,418","4,185.70",14.23,2354
"Butler Rural El Coop Assn, Inc - (KS)",KS,6662,"93,464","13,639.00",14.59,2641
CMS Electric Coop Inc,KS,3147,"25,837","4,000.80",15.48,2774
"Caney Valley El Coop Assn, Inc",KS,3577,"29,810","4,623.20",15.51,2961
City of Augusta - (KS),KS,3895,"36,003","4,061.50",11.28,998
City of Baldwin City- (KS),KS,1741,"16,267","2,353.10",14.47,1148
City of Beloit - (KS),KS,1815,"15,909","1,979.00",12.44,1525
City of Burlington - (KS),KS,1290,"12,604","1,581.30",12.55,2551
City of Chanute,KS,4599,"41,678","4,180.60",10.03,3355
City of Clay Center - (KS),KS,2212,"19,089","2,417.40",12.66,3710
City of Coffeyville - (KS),KS,5030,"46,656","5,266.10",11.29,3892
City of Colby - (KS),KS,2364,"19,117","1,956.10",10.23,3913
City of Eudora - (KS),KS,2369,"22,769","2,862.90",12.57,6019
City of Garden City,KS,10162,"94,782","10,908.60",11.51,6941
City of Gardner - (KS),KS,8081,"81,551","9,187.00",11.27,6949
City of Garnett - (KS),KS,1521,"13,386","1,519.60",11.35,6965
City of Girard - (KS),KS,1308,"12,876","1,833.00",14.24,7257
City of Goodland - (KS),KS,2180,"16,678","2,510.00",15.05,7374
City of Holton  - (KS),KS,2023,"16,375","1,691.00",10.33,8770
City of Hugoton - (KS),KS,1599,"14,008","1,842.00",13.15,9011
City of Iola - (KS),KS,3081,"31,430","3,267.00",10.39,9418
City of Kansas City - (KS),KS,58432,"546,327","70,807.00",12.96,9996
City of Kingman - (KS),KS,1585,"12,836","1,821.00",14.19,10321
City of Larned - (KS),KS,2107,"18,547","2,424.00",13.07,10713
City of McPherson - (KS),KS,7225,"85,364","6,605.00",7.74,12208
City of Moundridge - (KS),KS,880,"8,278",942.3,11.38,13029
City of Mulvane - (KS),KS,2312,"22,952","2,970.00",12.94,13095
City of Neodesha - (KS),KS,1236,"11,090","1,025.00",9.24,13380
City of Osage City - (KS),KS,1272,"11,371","1,577.00",13.87,14199
City of Osawatomie - (KS),KS,1836,"16,374","2,102.00",12.84,14203
City of Ottawa - (KS),KS,5235,"50,586","5,039.90",9.96,14229
City of Pratt- (KS),KS,3343,"28,815","3,990.40",13.85,15321
City of Russell - (KS),KS,2360,"22,224","2,536.00",11.41,16440
City of Sabetha - (KS),KS,1403,"12,690","1,432.00",11.28,16518
City of Seneca - (KS),KS,995,"9,740",744,7.64,16922
City of Wamego - (KS),KS,2071,"19,324","2,332.00",12.07,20069
City of Wellington - (KS),KS,3834,"33,544","5,617.40",16.75,20315
City of Winfield - (KS),KS,5991,"61,026","7,895.00",12.94,20813
"DS&O Electric Cooperative, Inc.",KS,7173,"85,468","13,420.00",15.7,4704
Empire District Electric Co,KS,8196,"101,323","11,348.80",11.2,5860
"Flint Hills Rural E C A, Inc",KS,5881,"51,805","8,272.00",15.97,6431
FreeState Electric Coop,KS,16556,"203,236","30,888.00",15.2,10019
"Heartland Rural Elec Coop, Inc",KS,9418,"103,056","15,046.80",14.6,16854
Kansas City Power & Light Co,KS,224985,"2,701,813","361,796.80",13.39,10000
Kansas Gas & Electric Co,KS,287662,"2,941,096","390,709.70",13.28,10005
"Lane-Scott Electric Coop, Inc",KS,2328,"23,067","2,942.00",12.75,10728
"Lyon-Coffey Electric Coop, Inc",KS,5549,"62,008","9,854.90",15.89,11334
Midwest Energy Inc,KS,29738,"300,372","35,835.00",11.93,12524
"Nemaha-Marshall E C A, Inc",KS,3316,"36,306","5,084.80",14.01,13386
Ninnescah Rural E C A Inc,KS,2767,"23,503","3,719.00",15.82,13570
"Pioneer Electric Coop, Inc - (KS)",KS,5017,"60,195","6,824.00",11.34,15073
Prairie Land Electric Coop Inc,KS,13887,"129,656","16,088.00",12.41,13799
"Radiant Electric Coop, Inc",KS,2979,"32,523","4,680.00",14.39,15621
Rolling Hills Electric Coop,KS,8781,"71,114","12,171.00",17.11,16267
Sedgwick County El Coop Assn Inc,KS,5672,"85,222","11,352.40",13.32,16920
Southern Pioneer Electric Company,KS,12529,"114,020","16,281.00",14.28,60839
"Sumner-Cowley Elec Coop, Inc",KS,3258,"45,369","7,256.30",15.99,18316
"Tri-County Electric Coop, Inc",KS,844,"8,745","1,224.70",14.0,19160
Twin Valley Electric Coop Inc,KS,2170,"23,798","4,090.00",17.19,18962
Victory Electric Coop Assn Inc,KS,13532,"133,578","17,461.80",13.07,19820
Westar Energy Inc,KS,329457,"3,222,166","430,512.10",13.36,22500
Western Coop Electric Assn Inc,KS,7402,"59,671","7,418.80",12.43,20476
"Wheatland Electric Coop, Inc",KS,20436,"203,704","28,338.10",13.91,20510
Barbourville Utility Comm,KY,3430,"38,879","4,026.30",10.36,1201
Big Sandy Rural Elec Coop Corp,KY,11848,"143,088","17,073.00",11.93,1708
Blue Grass Energy Coop Corp,KY,55117,"765,413","82,206.00",10.74,1886
City of Bardstown - (KY),KY,3372,"42,315","3,815.00",9.02,690
City of Benton - (KY),KY,1820,"22,544","2,739.00",12.15,1582
City of Berea Municipal Utility,KY,4603,"55,798","5,042.70",9.04,49998
City of Bowling Green - (KY),KY,24848,"265,606","28,038.00",10.56,2056
City of Frankfort - (KY),KY,16258,"198,546","20,282.40",10.22,6708
City of Franklin - (KY),KY,3869,"47,715","5,316.00",11.14,6718
City of Fulton - (KY),KY,1235,"13,847","1,620.00",11.7,6840
City of Glasgow - (KY),KY,5522,"59,978","7,296.00",12.16,7270
City of Hickman,KY,873,"9,705","1,226.00",12.63,8548
City of Hopkinsville,KY,10072,"117,117","12,670.00",10.82,8846
City of Jellico,KY,1852,"22,789","2,411.00",10.58,9697
City of Mayfield Plant Board,KY,4477,"46,923","5,569.00",11.87,11871
City of Murray - (KY),KY,6241,"62,794","7,651.00",12.18,13138
City of Nicholasville - (KY),KY,6178,"77,468","6,587.00",8.5,13577
City of Owensboro - (KY),KY,22938,"208,717","31,007.30",14.86,14268
City of Paducah - (KY),KY,18808,"212,727","29,750.70",13.99,14371
City of Princeton - (KY),KY,2965,"31,464","4,193.00",13.33,15386
City of Russellville - (KY),KY,3223,"35,028","3,697.00",10.55,16459
Clark Energy Coop Inc - (KY),KY,24597,"308,868","34,194.00",11.07,3687
"Cumberland Valley Electric, Inc.",KY,21975,"284,900","30,102.00",10.57,4622
"Duke Energy Kentucky, Inc.",KY,125795,"1,406,689","121,488.40",8.64,19446
Farmers Rural Electric Coop Corp - (KY),KY,23448,"292,437","31,168.00",10.66,6194
Fleming-Mason Energy Coop Inc,KY,22613,"268,823","28,686.00",10.67,6442
Grayson Rural Electric Coop Corp,KY,14194,"150,817","19,932.00",13.22,7558
Henderson City Utility Comm,KY,10231,"119,304","10,813.00",9.06,8449
Hickman-Fulton Counties RECC,KY,2593,"34,946","4,215.00",12.06,40305
Inter County Energy Coop Corp,KY,24669,"325,776","36,670.00",11.26,9292
Jackson Energy Coop Corp - (KY),KY,47728,"638,874","75,834.00",11.87,9575
Jackson Purchase Energy Corporation,KY,25632,"355,608","43,054.00",12.11,9605
Kenergy Corp,KY,46348,"664,218","83,764.00",12.61,9964
Kentucky Power Co,KY,135890,"1,932,804","232,153.00",12.01,22053
Kentucky Utilities Co,KY,429407,"5,698,116","586,583.10",10.29,10171
Licking Valley Rural E C C,KY,16237,"180,990","21,056.00",11.63,11011
Louisville Gas & Electric Co,KY,359658,"4,004,001","436,549.50",10.9,11249
Madisonville Municipal Utils,KY,6857,"71,334","7,605.00",10.66,11488
Meade County Rural E C C,KY,27471,"328,042","40,970.00",12.49,12243
Nolin Rural Electric Coop Corp,KY,34197,"466,860","49,832.00",10.67,13651
Owen Electric Coop Inc,KY,58403,"749,733","83,303.00",11.11,14251
Pennyrile Rural Electric Coop,KY,38436,"542,283","62,075.00",11.45,14724
Salt River Electric Coop Corp,KY,47725,"699,038","64,528.00",9.23,16587
"Shelby Energy Co-op, Inc",KY,15620,"224,853","24,300.00",10.81,17044
South Kentucky Rural  Electric Coop Corp,KY,61603,"727,740","77,189.00",10.61,17564
Taylor County Rural E C C,KY,23208,"283,514","27,585.00",9.73,18498
Tri-County Elec Member Corp,KY,19693,"262,565","29,268.00",11.15,19162
Warren Rural Elec Coop Corp,KY,53140,"801,804","85,975.00",10.72,20130
West Kentucky Rural E C C,KY,30342,"413,506","50,106.00",12.12,20377
"Beauregard Electric Coop, Inc",LA,38958,"585,358","61,806.00",10.56,1458
City of Abbeville - (LA),LA,4464,"52,746","5,279.90",10.01,59
City of Alexandria - (LA),LA,20216,"274,578","28,514.00",10.38,298
City of Lafayette - (LA),LA,55227,"790,227","71,596.00",9.06,9096
City of Minden - (LA),LA,5228,"57,110","7,401.00",12.96,12625
City of Natchitoches,LA,7550,"88,282","6,688.40",7.58,13228
City of Ruston - (LA),LA,8751,"96,755","3,412.00",3.53,16463
"Claiborne Electric Coop, Inc",LA,21162,"282,120","26,493.90",9.39,3641
Cleco Power LLC,LA,244297,"3,526,048","413,992.00",11.74,3265
"Concordia Electric Coop, Inc",LA,11838,"136,181","13,973.00",10.26,4153
Dixie Electric Membership Corp,LA,102193,"1,554,640","158,757.00",10.21,5202
Entergy Louisiana LLC,LA,928758,"13,357,020","1,188,574.30",8.9,11241
"Entergy New Orleans, LLC",LA,179633,"2,154,642","244,058.60",11.33,13478
"Jefferson Davis Elec Coop, Inc",LA,8637,"122,752","12,911.00",10.52,9682
Morgan City - (LA),LA,4635,"68,349","7,211.00",10.55,12927
Northeast Louisiana Power Coop Inc.,LA,11455,"182,089","16,650.00",9.14,13783
"Panola-Harrison Elec Coop, Inc",LA,8385,"120,860","12,029.10",9.95,14424
Pointe Coupee Elec Member Corp,LA,8316,"118,233","12,401.00",10.49,15175
South Louisiana Elec Coop Assn,LA,17903,"290,136","24,804.00",8.55,17565
Southwest Louisiana E M C,LA,99718,"1,640,245","151,445.60",9.23,17684
Southwestern Electric Power Co,LA,203270,"2,792,778","288,120.90",10.32,17698
Terrebonne Parish Consol Gov't,LA,11227,"176,186","16,476.00",9.35,8884
"Washington-St Tammany E C, Inc",LA,46826,"749,008","71,435.60",9.54,21567
City of Chicopee - (MA),MA,22974,"187,696","23,459.10",12.5,3477
City of Hingham - (MA),MA,8383,"88,924","12,834.00",14.43,8796
City of Holyoke - (MA),MA,14752,"100,455","12,403.00",12.35,8774
City of Marblehead - (MA),MA,9653,"82,289","12,384.00",15.05,11624
City of Norwood - (MA),MA,13601,"86,532","12,674.00",14.65,13839
City of Peabody - (MA),MA,21904,"181,193","21,114.50",11.65,14605
City of Taunton,MA,33450,"265,556","41,079.00",15.47,18488
City of Westfield - (MA),MA,15894,"124,641","17,243.00",13.83,20481
Fitchburg Gas and Electric Light Company,MA,17568,"107,638","24,683.20",22.93,6374
Massachusetts Electric Co,MA,675961,"4,635,858","967,954.00",20.88,11804
NSTAR Electric Company,MA,618193,"3,515,566","739,411.00",21.03,54913
Nantucket Electric Co,MA,3362,"21,271","5,162.00",24.27,13206
Town of Belmont - (MA),MA,10594,"67,886","14,274.00",21.03,1523
Town of Braintree - (MA),MA,13902,"113,659","16,048.00",14.12,2144
Town of Concord - (MA),MA,6918,"68,832","10,852.80",15.77,4147
Town of Danvers,MA,11334,"90,654","13,801.80",15.22,5480
Town of Hudson - (MA),MA,11242,"99,871","10,248.50",10.26,8973
Town of Ipswich - (MA),MA,6068,"47,922","6,704.00",13.99,9442
Town of Littleton - (MA),MA,6380,"62,684","7,078.40",11.29,11085
Town of Mansfield - (MA),MA,8839,"77,406","9,459.80",12.22,11586
Town of Middleborough - (MA),MA,14122,"122,696","15,844.00",12.91,12473
Town of Middleton,MA,3162,"37,434","5,112.10",13.66,12477
Town of North Attleborough - (MA),MA,12052,"106,150","16,858.00",15.88,13679
Town of Reading - (MA),MA,26399,"244,888","37,107.70",15.15,15748
Town of Shrewsbury - (MA),MA,14387,"130,511","14,592.80",11.18,17127
Town of South Hadley - (MA),MA,7072,"58,082","6,959.30",11.98,17560
Town of Sterling - (MA),MA,3449,"28,729","3,769.00",13.12,18087
Town of Wakefield - (MA),MA,11106,"80,250","12,070.00",15.04,19979
Town of Wellesley - (MA),MA,8921,"101,678","14,722.80",14.48,20310
Western Massachusetts Electric Company,MA,144677,"997,932","189,419.30",18.98,20455
A & N Electric Coop,MD,274,"2,047",235.3,11.49,84
Baltimore Gas & Electric Co,MD,872518,"8,944,070","1,262,877.30",14.12,1167
"Choptank Electric Coop, Inc",MD,48414,"657,403","89,713.50",13.65,3503
Delmarva Power,MD,151215,"1,693,071","246,167.50",14.54,5027
Easton Utilities Comm,MD,8287,"104,016","10,193.10",9.8,5625
Hagerstown Light Department,MD,14877,"150,079","11,418.80",7.61,7908
Potomac Electric Power Co,MD,411877,"4,273,206","626,736.50",14.67,15270
Southern Maryland Elec Coop Inc,MD,143831,"1,984,027","255,987.40",12.9,17637
The Potomac Edison Co,MD,207561,"2,744,642","303,078.60",11.04,15263
Central Maine Power Co,ME,454387,"3,018,478","455,328.00",15.08,3266
Eastern Maine Electric Coop,ME,10472,"54,249","9,391.00",17.31,5609
Emera Maine,ME,124462,"752,473","132,263.20",17.58,1179
"Fox Islands Electric Coop, Inc",ME,1704,"6,869","2,089.40",30.42,8780
Houlton Water Company,ME,3919,"29,875","3,144.40",10.53,8883
Kennebunk Light & Power Dist,ME,5977,"47,957","6,298.00",13.13,10144
Town of Madison - (ME),ME,2249,"17,267","2,714.00",15.72,11477
Alger-Delta Coop Electric Assn,MI,9439,"47,807","9,842.00",20.59,305
Alpena Power Co,MI,13708,"85,293","11,842.00",13.88,392
"Bayfield Electric Coop, Inc",MI,65,170,50,29.41,1367
Cherryland Electric Coop Inc,MI,32300,"264,476","36,890.90",13.95,3436
City of Bay City - (MI),MI,17858,"129,556","16,979.00",13.11,1366
City of Crystal Falls,MI,1350,"7,471","1,187.00",15.89,4604
City of Escanaba,MI,6048,"34,334","3,968.00",11.56,24558
